                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
09:48	    4.20	      91	0	B	
09:48	    4.20	      17	0	B	
09:48	    4.20	     261	0	B	
09:48	    4.20	     289	0	B	
09:48	    4.20	     827	0	B	
09:48	    4.20	      94	0	B	
09:48	    4.20	     396	0	B	
09:48	    4.20	     503	0	B	
09:48	    4.20	      67	0	B	
09:48	    4.19	      48	0	S	
09:49	    4.20	     201	0	B	
09:49	    4.19	      17	0	S	
09:49	    4.20	    1870	0	B	
09:49	    4.20	      54	0	S	
09:49	    4.20	      70	0	S	
09:49	    4.20	      53	0	S	
09:49	    4.20	     266	0	S	
09:49	    4.21	     531	0	B	
09:49	    4.21	      35	0	B	
09:49	    4.20	     871	0	S	
09:49	    4.21	      19	0	B	
09:49	    4.21	     270	0	B	
09:49	    4.20	      73	0	S	
09:49	    4.20	      28	0	S	
09:49	    4.21	     111	0	B	
09:49	    4.22	    4987	0	B	
09:49	    4.22	     522	0	S	
09:49	    4.23	     201	0	B	
09:49	    4.22	     174	0	S	
09:49	    4.22	     897	0	S	
09:50	    4.21	      47	0	S	
09:50	    4.22	    1161	0	B	
09:50	    4.22	     251	0	B	
09:50	    4.22	     429	0	B	
09:50	    4.22	     188	0	B	
09:50	    4.22	     508	0	B	
09:50	    4.22	    1098	0	B	
09:50	    4.21	     146	0	S	
09:50	    4.23	     893	0	B	
09:50	    4.22	     549	0	S	
09:50	    4.22	     285	0	S	
09:50	    4.23	     283	0	B	
09:50	    4.22	     179	0	S	
09:50	    4.23	     185	0	B	
09:50	    4.22	     103	0	S	
09:50	    4.23	    1061	0	B	
09:50	    4.23	      83	0	B	
09:50	    4.23	      79	0	B	
09:50	    4.22	     412	0	S	
09:51	    4.23	    2623	0	B	
09:51	    4.23	    2246	0	B	
09:51	    4.22	     519	0	S	
09:51	    4.23	     468	0	B	
09:51	    4.24	     312	0	B	
09:51	    4.22	     596	0	S	
09:51	    4.24	     121	0	B	
09:51	    4.24	    1301	0	B	
09:51	    4.23	     113	0	
09:51	    4.23	      57	0	B	
09:51	    4.23	     159	0	B	
09:51	    4.23	     168	0	B	
09:51	    4.23	     262	0	B	
09:51	    4.23	    2927	0	B	
09:51	    4.23	     630	0	S	
09:51	    4.24	     403	0	B	
09:51	    4.23	     202	0	B	
09:51	    4.23	      15	0	B	
09:51	    4.23	     365	0	B	
09:51	    4.23	     344	0	B	
09:52	    4.23	    1686	0	B	
09:52	    4.24	     728	0	B	
09:52	    4.23	     404	0	
09:52	    4.23	     259	0	S	
09:52	    4.23	      84	0	S	
09:52	    4.23	      60	0	B	
09:52	    4.22	     124	0	S	
09:52	    4.21	    2149	0	S	
09:52	    4.22	     288	0	
09:52	    4.23	     194	0	B	
09:52	    4.23	     116	0	B	
09:52	    4.22	     480	0	S	
09:52	    4.22	      54	0	B	
09:52	    4.22	      58	0	B	
09:52	    4.22	     151	0	B	
09:52	    4.22	     186	0	B	
09:52	    4.21	     327	0	S	
09:52	    4.22	     278	0	B	
09:53	    4.21	     221	0	S	
09:53	    4.21	     153	0	S	
09:53	    4.22	     378	0	B	
09:53	    4.21	      85	0	S	
09:53	    4.21	     135	0	S	
09:53	    4.21	      57	0	B	
09:53	    4.21	      20	0	B	
09:53	    4.21	      73	0	B	
09:53	    4.20	    1562	0	S	
09:53	    4.20	     306	0	S	
09:53	    4.20	      11	0	S	
09:53	    4.20	      47	0	S	
09:53	    4.21	      99	0	B	
09:53	    4.20	     843	0	S	
09:53	    4.20	    1135	0	S	
